French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
demandé,request
chambre,bedroom
mis,placed
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
